Males	Females	Sequences	P	Signif
0	1	5700	1	False
0	2	499	0.473109	False
0	3	171	0.237893	False
0	4	44	0.122398	False
0	5	16	0.0633991	False
0	6	9	0.0327789	False
0	7	1	0.0168274	False
0	8	3	0.00854602	False
0	9	0	0.00428175	False
0	10	0	0.00211149	False
0	11	1	0.0010228	False
0	12	0	0.000485763	False
0	13	0	0.000225796	False
0	14	0	0.000102544	False
0	15	0	4.54195e-05	False
0	16	0	1.95856e-05	False
0	17	0	8.20707e-06	False
0	18	0	3.3354e-06	False
0	19	0	1.31198e-06	False
0	20	0	4.98401e-07	True
0	21	0	1.82429e-07	True
0	22	0	6.41783e-08	True
0	23	0	2.16421e-08	True
0	24	0	6.97536e-09	True
0	25	0	2.14205e-09	True
0	26	0	6.24605e-10	True
0	27	0	1.723e-10	True
0	28	0	4.4782e-11	True
0	29	0	1.09178e-11	True
0	30	0	2.48468e-12	True
0	31	0	5.25024e-13	True
0	32	0	1.02363e-13	True
0	33	0	1.83187e-14	True
0	34	0	2.9976e-15	True
1	0	6558	1	False
1	1	774	1	False
1	2	383	1	False
1	3	225	0.606603	False
1	4	112	0.353309	False
1	5	71	0.20024	False
1	6	19	0.111017	False
1	7	7	0.0603323	False
1	8	7	0.0321559	False
1	9	2	0.0168046	False
1	10	4	0.00860547	False
1	11	0	0.00431431	False
1	12	0	0.0021153	False
1	13	0	0.00101304	False
1	14	0	0.00047326	False
1	15	0	0.000215355	False
1	16	0	9.53042e-05	False
1	17	0	4.09482e-05	False
1	18	0	1.70503e-05	False
1	19	0	6.86676e-06	False
1	20	0	2.66914e-06	False
1	21	0	9.99067e-07	False
1	22	0	3.59207e-07	True
1	23	0	1.23724e-07	True
1	24	0	4.07053e-08	True
1	25	0	1.27512e-08	True
1	26	0	3.79006e-09	True
1	27	0	1.06484e-09	True
1	28	0	2.81612e-10	True
1	29	0	6.97845e-11	True
1	30	0	1.61219e-11	True
1	31	0	3.45302e-12	True
1	32	0	6.81455e-13	True
1	33	0	1.23013e-13	True
1	34	0	2.02061e-14	True
2	0	369	0.473109	False
2	1	377	1	False
2	2	295	1	False
2	3	170	1	False
2	4	193	0.669411	False
2	5	112	0.425556	False
2	6	53	0.259736	False
2	7	22	0.153202	False
2	8	15	0.0876688	False
2	9	9	0.0487803	False
2	10	3	0.0264224	False
2	11	2	0.0139388	False
2	12	2	0.00716097	False
2	13	1	0.00358116	False
2	14	1	0.00174205	False
2	15	0	0.000823471	False
2	16	0	0.000377804	False
2	17	0	0.000167998	False
2	18	0	7.22879e-05	False
2	19	0	3.00451e-05	False
2	20	0	1.20383e-05	False
2	21	0	4.63964e-06	False
2	22	0	1.71587e-06	False
2	23	0	6.07314e-07	True
2	24	0	2.05118e-07	True
2	25	0	6.58973e-08	True
2	26	0	2.00667e-08	True
2	27	0	5.76961e-09	True
2	28	0	1.55965e-09	True
2	29	0	3.94522e-10	True
2	30	0	9.28999e-11	True
2	31	0	2.02465e-11	True
2	32	0	4.05764e-12	True
2	33	0	7.42517e-13	True
2	34	0	1.23013e-13	True
3	0	103	0.237893	False
3	1	190	0.606603	False
3	2	197	1	False
3	3	219	1	False
3	4	175	1	False
3	5	111	0.707161	False
3	6	64	0.475131	False
3	7	41	0.305507	False
3	8	34	0.188957	False
3	9	16	0.112813	False
3	10	12	0.0651644	False
3	11	6	0.0364698	False
3	12	12	0.0197902	False
3	13	1	0.010415	False
3	14	0	0.00531462	False
3	15	0	0.00262818	False
3	16	0	0.00125846	False
3	17	0	0.00058284	False
3	18	0	0.00026073	False
3	19	0	0.000112479	False
3	20	0	4.67081e-05	False
3	21	0	1.86318e-05	False
3	22	0	7.12269e-06	False
3	23	0	2.60275e-06	False
3	24	0	9.06498e-07	False
3	25	0	2.99955e-07	True
3	26	0	9.39634e-08	True
3	27	0	2.77568e-08	True
3	28	0	7.69827e-09	True
3	29	0	1.99495e-09	True
3	30	0	4.80449e-10	True
3	31	0	1.0689e-10	True
3	32	0	2.18223e-11	True
3	33	0	4.05764e-12	True
3	34	0	6.81455e-13	True
4	0	44	0.122398	False
4	1	106	0.353309	False
4	2	122	0.669411	False
4	3	124	1	False
4	4	123	1	False
4	5	123	1	False
4	6	94	0.732678	False
4	7	52	0.511287	False
4	8	42	0.341399	False
4	9	30	0.218915	False
4	10	16	0.135166	False
4	11	9	0.0805115	False
4	12	6	0.0463203	False
4	13	3	0.0257571	False
4	14	0	0.0138458	False
4	15	1	0.00719375	False
4	16	0	0.00361051	False
4	17	0	0.001749	False
4	18	0	0.000816805	False
4	19	0	0.000367233	False
4	20	0	0.00015868	False
4	21	0	6.57672e-05	False
4	22	0	2.60871e-05	False
4	23	0	9.87793e-06	False
4	24	0	3.56032e-06	False
4	25	0	1.2176e-06	False
4	26	0	3.93694e-07	True
4	27	0	1.19872e-07	True
4	28	0	3.42177e-08	True
4	29	0	9.11166e-09	True
4	30	0	2.25086e-09	True
4	31	0	5.1263e-10	True
4	32	0	1.0689e-10	True
4	33	0	2.02465e-11	True
4	34	0	3.45302e-12	True
5	0	9	0.0633991	False
5	1	21	0.20024	False
5	2	67	0.425556	False
5	3	116	0.707161	False
5	4	97	1	False
5	5	112	1	False
5	6	115	1	False
5	7	56	0.751141	False
5	8	52	0.538747	False
5	9	50	0.370028	False
5	10	42	0.243958	False
5	11	25	0.154682	False
5	12	10	0.0944472	False
5	13	8	0.0555823	False
5	14	6	0.0315401	False
5	15	4	0.0172575	False
5	16	0	0.00910191	False
5	17	2	0.00462423	False
5	18	0	0.00226085	False
5	19	0	0.00106237	False
5	20	0	0.000479035	False
5	21	0	0.000206886	False
5	22	0	8.53934e-05	False
5	23	0	3.36015e-05	False
5	24	0	1.2569e-05	False
5	25	0	4.45511e-06	False
5	26	0	1.49094e-06	False
5	27	0	4.69187e-07	True
5	28	0	1.38209e-07	True
5	29	0	3.79152e-08	True
5	30	0	9.63129e-09	True
5	31	0	2.25086e-09	True
5	32	0	4.80449e-10	True
5	33	0	9.28999e-11	True
5	34	0	1.61219e-11	True
6	0	7	0.0327789	False
6	1	14	0.111017	False
6	2	40	0.259736	False
6	3	67	0.475131	False
6	4	102	0.732678	False
6	5	92	1	False
6	6	88	1	False
6	7	101	1	False
6	8	63	0.765087	False
6	9	49	0.560179	False
6	10	55	0.393153	False
6	11	41	0.264882	False
6	12	19	0.171514	False
6	13	11	0.106822	False
6	14	10	0.0640221	False
6	15	8	0.0369277	False
6	16	3	0.020494	False
6	17	2	0.0109372	False
6	18	2	0.00560811	False
6	19	1	0.00275955	False
6	20	1	0.00130114	False
6	21	0	0.000586798	False
6	22	0	0.000252584	False
6	23	0	0.000103515	False
6	24	0	4.02761e-05	False
6	25	0	1.48298e-05	False
6	26	0	5.14846e-06	False
6	27	0	1.67832e-06	False
6	28	0	5.11334e-07	True
6	29	0	1.44836e-07	True
6	30	0	3.79152e-08	True
6	31	0	9.11166e-09	True
6	32	0	1.99495e-09	True
6	33	0	3.94522e-10	True
6	34	0	6.97845e-11	True
7	0	0	0.0168274	False
7	1	48	0.0603323	False
7	2	26	0.153202	False
7	3	53	0.305507	False
7	4	70	0.511287	False
7	5	64	0.751141	False
7	6	50	1	False
7	7	67	1	False
7	8	62	1	False
7	9	93	0.775922	False
7	10	46	0.577211	False
7	11	49	0.411981	False
7	12	28	0.282332	False
7	13	31	0.185877	False
7	14	16	0.117601	False
7	15	7	0.071506	False
7	16	9	0.0417747	False
7	17	2	0.0234363	False
7	18	3	0.0126157	False
7	19	1	0.00650846	False
7	20	0	0.00321338	False
7	21	0	0.00151562	False
7	22	0	0.000681473	False
7	23	0	0.000291381	False
7	24	0	0.000118139	False
7	25	0	4.52711e-05	False
7	26	0	1.63354e-05	False
7	27	0	5.52691e-06	False
7	28	0	1.745e-06	False
7	29	0	5.11334e-07	True
7	30	0	1.38209e-07	True
7	31	0	3.42177e-08	True
7	32	0	7.69827e-09	True
7	33	0	1.55965e-09	True
7	34	0	2.81612e-10	True
8	0	0	0.00854602	False
8	1	1	0.0321559	False
8	2	11	0.0876688	False
8	3	34	0.188957	False
8	4	30	0.341399	False
8	5	101	0.538747	False
8	6	84	0.765087	False
8	7	58	1	False
8	8	62	1	False
8	9	95	1	False
8	10	63	0.784491	False
8	11	60	0.590889	False
8	12	72	0.427355	False
8	13	37	0.296818	False
8	14	13	0.197982	False
8	15	11	0.126806	False
8	16	13	0.077962	False
8	17	5	0.0459829	False
8	18	3	0.0259959	False
8	19	2	0.0140704	False
8	20	4	0.00728069	False
