Sequence	Contig	Position	SexBias	P	Signif
473564	PKUT01000141.1	364882	0	1	False
473781	PKUT01000206.1	477101	0	1	False
473787	CM014014.1	29355548	0	1	False
473845	CM014028.1	16897124	0	1	False
475448	CM014035.1	2757055	0	1	False
475490	PKUT01001998.1	145433	0	1	False
475549	CM014019.1	11796898	-0.0882353	0.47417	False
475561	CM014036.1	10683429	-0.0882353	0.599611	False
475573	CM014018.1	20628503	0	1	False
475914	CM014019.1	25204736	0.0294118	1	False
476340	CM014029.1	10654654	0	1	False
476391	CM014014.1	33781401	0	1	False
477475	CM014016.1	29245696	0	1	False
477591	CM014018.1	18179322	0	1	False
478427	PKUT01002162.1	103250	0	1	False
478825	PKUT01001032.1	860465	0	1	False
479072	CM014021.1	18463097	0	1	False
479317	CM014016.1	21522588	0.0294117	1	False
481474	CM014019.1	16487722	0	1	False
481840	PKUT01002268.1	31916	0	1	False
481944	CM014019.1	8548051	1	1.22125e-15	True
482579	CM014018.1	12254562	0.0294118	1	False
482762	CM014019.1	18262795	0	1	False
482805	CM014028.1	17439804	0	1	False
483478	CM014025.1	15468512	0	1	False
483636	CM014028.1	23808410	0	1	False
483743	CM014036.1	12987879	0.0294118	1	False
484023	CM014014.1	10884014	0.147059	0.217366	False
484359	CM014028.1	23640040	0	1	False
484520	CM014012.1	27173357	-0.117647	0.391081	False
484842	CM014019.1	22973273	0	1	False
484938	CM014014.1	34020670	0	1	False
485283	CM014036.1	8106452	0	1	False
486017	CM014029.1	16588683	0.0588235	0.472917	False
486890	CM014016.1	9762590	0	1	False
486926	CM014017.1	16489337	0	1	False
487482	CM014026.1	2113021	0	1	False
487654	CM014036.1	8368223	0	1	False
487699	CM014031.1	19965946	0	1	False
488334	CM014022.1	7313124	-0.117647	0.454083	False
488442	CM014030.1	24596657	0.147059	0.217366	False
488630	CM014019.1	26971996	-0.117647	0.466854	False
489091	CM014020.1	17736122	0	1	False
489495	CM014014.1	18687108	-0.0294117	1	False
489576	CM014025.1	196294	-0.0882353	0.47417	False
489970	CM014017.1	32300909	-0.0882353	0.620113	False
490680	CM014014.1	23528077	0.0294117	1	False
490940	CM014026.1	23747512	0	1	False
490957	CM014036.1	9968779	0	1	False
491711	CM014014.1	20835587	0	1	False
491963	CM014018.1	11778383	0	1	False
492462	CM014020.1	29090510	0	1	False
492527	CM014015.1	32105916	0	1	False
493175	CM014019.1	23607676	-0.0588235	0.799681	False
493289	CM014018.1	18918144	-0.0882353	0.537379	False
493397	CM014029.1	17027983	0.0588235	0.668982	False
